"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Jul-2025","EQ","1,484.80","1,484.80","1,469.10","1,476.40","1,476.00","1,476.00","1,475.20","3,211.70","1,114.85","1,02,96,318","15,18,91,04,342.00","2,22,241"
"17-Jul-2025","EQ","1,487.40","1,489.60","1,473.90","1,485.60","1,478.70","1,476.40","1,479.78","3,211.70","1,114.85","1,18,54,613","17,54,22,05,685.80","1,89,733"
"16-Jul-2025","EQ","1,473.00","1,491.00","1,471.50","1,485.40","1,486.20","1,485.60","1,481.43","3,211.70","1,114.85","1,04,09,983","15,42,16,36,574.60","1,91,598"
"15-Jul-2025","EQ","1,486.20","1,496.50","1,482.40","1,483.70","1,488.50","1,485.40","1,487.92","3,211.70","1,114.85","81,32,454","12,10,04,48,372.90","1,73,756"
"14-Jul-2025","EQ","1,492.20","1,500.00","1,479.10","1,495.20","1,486.40","1,483.70","1,487.76","3,211.70","1,114.85","1,03,11,846","15,34,15,29,534.70","1,86,122"
"11-Jul-2025","EQ","1,512.00","1,515.00","1,490.30","1,517.20","1,495.00","1,495.20","1,496.06","3,217.60","1,114.85","72,34,991","10,82,39,82,872.20","1,78,490"
"10-Jul-2025","EQ","1,519.70","1,524.70","1,507.50","1,519.00","1,515.20","1,517.20","1,516.20","3,217.60","1,114.85","1,00,47,129","15,23,34,58,376.40","2,89,035"
"09-Jul-2025","EQ","1,536.70","1,551.00","1,510.10","1,537.60","1,520.50","1,519.00","1,532.97","3,217.60","1,114.85","88,70,660","13,59,84,41,338.60","2,54,524"
"08-Jul-2025","EQ","1,536.00","1,544.90","1,530.20","1,541.50","1,538.00","1,537.60","1,536.23","3,217.60","1,114.85","71,71,261","11,01,66,84,351.60","1,91,265"
"07-Jul-2025","EQ","1,526.60","1,544.80","1,525.00","1,527.30","1,540.50","1,541.50","1,539.06","3,217.60","1,114.85","72,51,074","11,15,98,58,745.50","2,05,134"
"04-Jul-2025","EQ","1,524.00","1,530.00","1,517.20","1,517.80","1,528.10","1,527.30","1,523.57","3,217.60","1,114.85","66,03,501","10,06,09,08,691.00","1,67,255"
"03-Jul-2025","EQ","1,520.80","1,531.90","1,513.00","1,518.80","1,515.00","1,517.80","1,520.57","3,217.60","1,114.85","1,12,83,291","17,15,69,79,936.80","2,58,008"
"02-Jul-2025","EQ","1,528.40","1,530.00","1,508.70","1,528.40","1,517.10","1,518.80","1,518.29","3,217.60","1,114.85","63,61,002","9,65,78,44,399.40","1,83,873"
"01-Jul-2025","EQ","1,500.60","1,531.40","1,500.10","1,500.60","1,526.80","1,528.40","1,522.95","3,217.60","1,114.85","1,03,68,523","15,79,07,50,945.40","2,32,573"
"30-Jun-2025","EQ","1,513.80","1,524.80","1,496.00","1,515.40","1,499.90","1,500.60","1,509.28","3,217.60","1,114.85","84,09,527","12,69,23,29,820.10","2,42,195"
"27-Jun-2025","EQ","1,499.40","1,522.00","1,496.90","1,495.30","1,514.00","1,515.40","1,511.99","3,217.60","1,114.85","1,11,17,052","16,80,89,08,375.40","2,69,877"
"26-Jun-2025","EQ","1,469.10","1,498.80","1,465.10","1,467.30","1,495.30","1,495.30","1,488.16","3,217.60","1,114.85","1,46,57,893","21,81,33,25,246.10","2,47,215"
"25-Jun-2025","EQ","1,464.00","1,472.40","1,460.50","1,450.80","1,467.60","1,467.30","1,467.46","3,217.60","1,114.85","75,25,851","11,04,38,61,535.40","1,97,720"
"24-Jun-2025","EQ","1,465.00","1,475.00","1,443.10","1,456.80","1,456.80","1,450.80","1,456.68","3,217.60","1,114.85","1,64,02,744","23,89,35,22,923.20","2,84,313"
"23-Jun-2025","EQ","1,453.00","1,463.80","1,442.00","1,466.20","1,456.00","1,456.80","1,453.48","3,217.60","1,114.85","59,89,078","8,70,50,05,211.50","2,26,309"
"20-Jun-2025","EQ","1,431.00","1,471.00","1,428.10","1,433.30","1,464.10","1,466.20","1,462.68","3,217.60","1,114.85","2,90,10,635","42,43,33,00,495.60","2,76,278"
"19-Jun-2025","EQ","1,430.10","1,439.90","1,425.70","1,430.10","1,428.00","1,433.30","1,433.80","3,217.60","1,114.85","1,00,07,230","14,34,83,70,217.60","1,79,473"
"18-Jun-2025","EQ","1,430.00","1,442.80","1,425.70","1,431.20","1,429.70","1,430.10","1,431.31","3,217.60","1,114.85","66,81,735","9,56,36,29,434.00","1,38,211"
"17-Jun-2025","EQ","1,448.00","1,448.00","1,425.80","1,437.80","1,430.00","1,431.20","1,432.15","3,217.60","1,114.85","1,03,66,599","14,84,65,17,402.40","1,91,173"
"16-Jun-2025","EQ","1,426.90","1,442.40","1,424.40","1,427.90","1,436.90","1,437.80","1,436.42","3,217.60","1,114.85","84,58,093","12,14,94,12,490.70","2,13,623"
"13-Jun-2025","EQ","1,424.00","1,435.50","1,414.30","1,441.60","1,427.50","1,427.90","1,423.95","3,217.60","1,114.85","97,57,276","13,89,39,05,321.30","2,02,256"
"12-Jun-2025","EQ","1,453.50","1,457.00","1,434.40","1,448.90","1,439.50","1,441.60","1,444.32","3,217.60","1,114.85","88,28,114","12,75,06,12,321.30","1,90,194"
"11-Jun-2025","EQ","1,445.80","1,468.60","1,443.10","1,438.50","1,448.00","1,448.90","1,456.11","3,217.60","1,114.85","81,95,700","11,93,38,50,942.70","1,84,593"
"10-Jun-2025","EQ","1,450.00","1,453.90","1,436.00","1,448.80","1,437.30","1,438.50","1,442.59","3,217.60","1,114.85","79,13,181","11,41,54,76,580.50","1,67,203"
"09-Jun-2025","EQ","1,457.00","1,457.50","1,445.30","1,443.50","1,447.20","1,448.80","1,449.95","3,217.60","1,114.85","78,85,125","11,43,30,33,631.80","1,59,916"
"06-Jun-2025","EQ","1,441.00","1,451.50","1,437.00","1,442.40","1,443.00","1,443.50","1,444.22","3,217.60","1,114.85","81,82,161","11,81,68,75,426.10","1,79,734"
"05-Jun-2025","EQ","1,428.00","1,454.70","1,423.60","1,423.50","1,442.70","1,442.40","1,442.72","3,217.60","1,114.85","1,37,16,817","19,78,94,68,217.00","3,04,069"
"04-Jun-2025","EQ","1,414.70","1,425.70","1,406.10","1,405.50","1,421.00","1,423.50","1,415.78","3,217.60","1,114.85","81,26,827","11,50,58,06,730.50","1,52,064"
"03-Jun-2025","EQ","1,422.30","1,426.50","1,403.40","1,413.70","1,405.40","1,405.50","1,412.34","3,217.60","1,114.85","1,12,52,626","15,89,25,72,174.10","2,30,110"
"02-Jun-2025","EQ","1,412.10","1,417.50","1,395.60","1,420.90","1,412.60","1,413.70","1,407.75","3,217.60","1,114.85","80,98,668","11,40,08,64,785.00","1,89,977"
"30-May-2025","EQ","1,418.00","1,430.60","1,409.70","1,417.80","1,417.90","1,420.90","1,419.89","3,217.60","1,114.85","1,37,88,484","19,57,81,54,095.00","1,55,127"
"29-May-2025","EQ","1,412.10","1,420.00","1,408.60","1,412.90","1,419.50","1,417.80","1,414.72","3,217.60","1,114.85","1,37,71,917","19,48,34,24,681.60","2,65,116"
"28-May-2025","EQ","1,420.10","1,422.60","1,410.70","1,422.10","1,412.80","1,412.90","1,414.99","3,217.60","1,114.85","59,44,611","8,41,15,75,745.50","1,69,185"
"27-May-2025","EQ","1,426.10","1,437.00","1,413.90","1,434.80","1,424.20","1,422.10","1,421.81","3,217.60","1,114.85","1,26,40,414","17,97,22,11,281.70","2,11,047"
"26-May-2025","EQ","1,432.00","1,441.00","1,425.10","1,426.80","1,435.90","1,434.80","1,437.16","3,217.60","1,114.85","48,42,944","6,96,01,05,851.40","1,71,837"
"23-May-2025","EQ","1,406.60","1,433.80","1,406.60","1,409.40","1,426.00","1,426.80","1,424.63","3,217.60","1,114.85","64,74,883","9,22,43,12,172.60","1,35,371"
"22-May-2025","EQ","1,421.20","1,423.80","1,396.90","1,429.20","1,411.50","1,409.40","1,406.85","3,217.60","1,114.85","1,21,34,466","17,07,14,02,011.90","2,28,031"
